ID,NOMBRE,SEDE,PROG,NIVEL,Estatus,% BECA,CARGOS,ECA,DEPP,AJUSTADO,PAGADO,SALDO,SALDO VENCIDO,NCV,C,B,A,P,S,%,C,B,A,P,S,%,C,B,A,P,S,%,C,B,A,P,S,%
83,Nombre83,CAM,LIC-ADME-18,LI,AS,,13870,0,0,13870,3697,8556,3036,3,3697,0,3697,3696.89,0.11,99.99,3299,0,3299,539.11,2759.89,16.34,3299,0,3299,539,2760,16.33,3299,0,3299,539,2760,16.33
84,Nombre84,CAM,LIC-DERE-18,LI,AS,,14044,0,593.81,13450.19,13001.01,450.11,150.11,2,3697,0,3697,3696.89,0.11,99.99,3299,0,3299,3299,0,100,3299,0,3299,3299,0,100,3299,0,3299,3299,0,100
85,Nombre85,CAM,LIC-DERE-18,LI,AS,,13594,0,0,13594,6996,6598,0.11,1,3697,0,3697,3696.89,0.11,99.99,3299,0,3299,3299,0,100,3299,0,3299,0.11,3298.89,0.0033,3299,0,3299,0,3299,0
86,Nombre86,CAM,LIC-DSGD-18,LI,AS,,14661.9,0,0,14661.9,3245.99,11415.91,4517.91,4,3697,0,3697,2957.99,739.01,80.01,3299,0,3299,0,3299,0,3299,0,3299,0,3299,0,3299,0,3299,0,3299,0
87,Nombre87,CAM,LIC-COFI-18,LI,AS,,13923.9,0,0,13923.9,3697,10226.9,3628.9,3,3697,0,3697,3696.89,0.11,99.99,3299,0,3299,0.11,3298.89,0.0033,3299,0,3299,0,3299,0,3299,0,3299,0,3299,0
88,Nombre88,CAM,LIC-EJDE-17,LI,AS,400,9444.9,0,0,9444.9,2676.68,6768.22,2431.06,3,2307,138.42,2168.58,2123,45.58,97.89,2307,138.42,2168.58,0,2168.58,0,2307,138.42,2168.58,0,2168.58,0,2307,138.42,2168.58,0,2168.58,0
89,Nombre89,CAM,LIC-EJDE-17,LI,BR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Nombre90,CAM,LIC-COFI-18,LI,AS,,13923.9,0,0,13923.9,3697.2,10226.7,3628.7,3,3697,0,3697,3696.89,0.11,99.99,3299,0,3299,0.31,3298.69,0.0093,3299,0,3299,0,3299,0,3299,0,3299,0,3299,0
91,Nombre91,CAM,LIC-ADME-18,LI,AS,,14211.9,0,0,14211.9,3985,10226.9,3628.9,3,3697,0,3697,3696.89,0.11,99.99,3299,0,3299,0.11,3298.89,0.0033,3299,0,3299,0,3299,0,3299,0,3299,0,3299,0
92,Nombre92,CAM,LIC-CTCO-18,LI,AS,,13882,0,0,13882,7284,6598,0.11,1,3697,0,3697,3696.89,0.11,99.99,3299,0,3299,3299,0,100,3299,0,3299,0.11,3298.89,0.0033,3299,0,3299,0,3299,0
